C:\Users\stick\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\stable_baselines3\common\buffers.py:229: UserWarning: This system does not have apparently enough memory to store the complete replay buffer 28.24GB > 4.49GB
  warnings.warn(
global_step=65585, episodic_return=-16400.0
global_step=65763, episodic_return=-18800.0
global_step=65942, episodic_return=-16400.0
global_step=66122, episodic_return=-17100.0
global_step=66303, episodic_return=-11900.0
global_step=66485, episodic_return=-13500.0
global_step=66667, episodic_return=-12800.0
global_step=66845, episodic_return=-9400.0
global_step=67029, episodic_return=-12800.0
global_step=67212, episodic_return=-12800.0
global_step=67393, episodic_return=-12300.0
global_step=67574, episodic_return=-20200.0
global_step=67759, episodic_return=-14400.0
global_step=67943, episodic_return=-14800.0
global_step=68123, episodic_return=-10200.0
global_step=68302, episodic_return=-12800.0
global_step=68480, episodic_return=-7800.0
global_step=68663, episodic_return=-16800.0
global_step=68843, episodic_return=-14100.0
global_step=69027, episodic_return=-9300.0
global_step=69209, episodic_return=-6700.0
global_step=69390, episodic_return=-12800.0
global_step=69571, episodic_return=-7200.0
global_step=69751, episodic_return=-17300.0
global_step=69934, episodic_return=-14700.0
global_step=70118, episodic_return=-20700.0
global_step=70298, episodic_return=-4400.0
global_step=70480, episodic_return=-17300.0
global_step=70665, episodic_return=-13300.0
global_step=70848, episodic_return=-15600.0
global_step=71031, episodic_return=-18500.0
global_step=71213, episodic_return=-13900.0
global_step=71398, episodic_return=-12800.0
global_step=71581, episodic_return=-11700.0
global_step=71765, episodic_return=-10700.0
global_step=71943, episodic_return=-18800.0
global_step=72121, episodic_return=-18700.0
global_step=72304, episodic_return=-12200.0
global_step=72483, episodic_return=-18700.0
global_step=72666, episodic_return=-14500.0
global_step=72846, episodic_return=-13600.0
global_step=73026, episodic_return=-12300.0
global_step=73208, episodic_return=-11700.0
global_step=73388, episodic_return=-6400.0
global_step=73572, episodic_return=-8800.0
global_step=73752, episodic_return=-7600.0
global_step=73930, episodic_return=-9300.0
global_step=74113, episodic_return=-15700.0
global_step=74293, episodic_return=-11900.0
global_step=74473, episodic_return=-9300.0
global_step=74654, episodic_return=-11900.0
global_step=74834, episodic_return=-12800.0
global_step=75013, episodic_return=-8500.0
global_step=75196, episodic_return=-11900.0
global_step=75379, episodic_return=-9600.0
global_step=75558, episodic_return=-20600.0
global_step=75742, episodic_return=-12600.0
global_step=75925, episodic_return=-19700.0
global_step=76106, episodic_return=-16500.0
global_step=76286, episodic_return=-16400.0
global_step=76466, episodic_return=-15300.0
global_step=76646, episodic_return=-12300.0
global_step=76830, episodic_return=-21600.0
global_step=77008, episodic_return=-16400.0
global_step=77191, episodic_return=-21700.0
global_step=77374, episodic_return=-16400.0
global_step=77557, episodic_return=-12500.0
global_step=77739, episodic_return=-12500.0
global_step=77922, episodic_return=-16800.0
global_step=78107, episodic_return=-8500.0
global_step=78290, episodic_return=-15300.0
global_step=78468, episodic_return=-8500.0
global_step=78653, episodic_return=-12800.0
global_step=78832, episodic_return=-7600.0
global_step=79013, episodic_return=-8500.0
global_step=79198, episodic_return=-18500.0
global_step=79381, episodic_return=-19000.0
global_step=79564, episodic_return=-14100.0
global_step=79743, episodic_return=-15000.0
global_step=79922, episodic_return=-11900.0
global_step=80100, episodic_return=-50000.0
SPS: 164
SPS: 163
global_step=80283, episodic_return=-19500.0
SPS: 163
SPS: 163
global_step=80465, episodic_return=-13400.0
SPS: 163
SPS: 162
global_step=80649, episodic_return=-27500.0
SPS: 162
SPS: 162
global_step=80828, episodic_return=-8800.0
SPS: 162
SPS: 161
global_step=81007, episodic_return=-16700.0
SPS: 161
global_step=81189, episodic_return=-13800.0
SPS: 161
SPS: 160
global_step=81368, episodic_return=-11000.0
SPS: 160
SPS: 160
global_step=81548, episodic_return=-8100.0
SPS: 160
SPS: 159
