C:\Users\stick\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\stable_baselines3\common\buffers.py:229: UserWarning: This system does not have apparently enough memory to store the complete replay buffer 28.24GB > 5.03GB
  warnings.warn(
SPS: 262
SPS: 261
global_step=86722, episodic_return=504.0
SPS: 260
global_step=86823, episodic_return=273.0
SPS: 259
global_step=86950, episodic_return=336.0
SPS: 259
global_step=87034, episodic_return=168.0
SPS: 258
global_step=87178, episodic_return=357.0
SPS: 257
SPS: 257
global_step=87337, episodic_return=441.0
SPS: 256
SPS: 255
global_step=87501, episodic_return=420.0
global_step=87588, episodic_return=189.0
SPS: 254
global_step=87668, episodic_return=189.0
SPS: 254
SPS: 253
global_step=87840, episodic_return=399.0
SPS: 252
global_step=88000, episodic_return=441.0
SPS: 252
SPS: 251
global_step=88108, episodic_return=294.0
global_step=88192, episodic_return=168.0
SPS: 250
SPS: 249
global_step=88313, episodic_return=210.0
SPS: 249
global_step=88480, episodic_return=483.0
SPS: 248
global_step=88581, episodic_return=252.0
SPS: 247
SPS: 247
global_step=88761, episodic_return=378.0
SPS: 246
global_step=88885, episodic_return=399.0
SPS: 245
SPS: 245
global_step=89037, episodic_return=252.0
SPS: 244
global_step=89184, episodic_return=336.0
SPS: 243
SPS: 243
global_step=89328, episodic_return=189.0
SPS: 242
global_step=89455, episodic_return=378.0
SPS: 241
global_step=89588, episodic_return=273.0
SPS: 241
SPS: 240
global_step=89747, episodic_return=336.0
SPS: 240
global_step=89898, episodic_return=210.0
SPS: 239
SPS: 238
global_step=90014, episodic_return=189.0
SPS: 238
global_step=90106, episodic_return=189.0
SPS: 237
global_step=90278, episodic_return=441.0
SPS: 237
SPS: 236
global_step=90442, episodic_return=336.0
SPS: 235
global_step=90590, episodic_return=294.0
SPS: 235
SPS: 234
global_step=90736, episodic_return=357.0
SPS: 234
global_step=90884, episodic_return=210.0
SPS: 233
SPS: 233
global_step=91017, episodic_return=294.0
SPS: 232
global_step=91186, episodic_return=231.0
SPS: 231
SPS: 231
global_step=91342, episodic_return=399.0
SPS: 230
SPS: 230
global_step=91501, episodic_return=399.0
SPS: 229
global_step=91657, episodic_return=378.0
SPS: 229
SPS: 228
global_step=91876, episodic_return=588.0
SPS: 228
global_step=91984, episodic_return=168.0
SPS: 227
SPS: 226
global_step=92112, episodic_return=294.0
SPS: 226
global_step=92280, episodic_return=357.0
SPS: 225
SPS: 225
global_step=92404, episodic_return=336.0
SPS: 224
global_step=92558, episodic_return=231.0
SPS: 224
SPS: 223
global_step=92704, episodic_return=252.0
SPS: 223
global_step=92851, episodic_return=462.0
SPS: 222
global_step=92981, episodic_return=378.0
SPS: 222
SPS: 221
global_step=93161, episodic_return=420.0
SPS: 221
SPS: 220
global_step=93320, episodic_return=399.0
SPS: 220
global_step=93417, episodic_return=315.0
SPS: 219
SPS: 219
global_step=93601, episodic_return=462.0
